"Date","Open","High","Low","Close","Volume","Market Cap"
"12-02-2018",0.372595,0.393307,0.372595,0.384315,243039008,9964162114
"11-02-2018",0.405104,0.405196,0.363624,0.369769,331944000,9587026946
"10-02-2018",0.386671,0.462766,0.385368,0.405872,951824000,10523071973
"09-02-2018",0.352848,0.394133,0.342911,0.391602,401271008,10153092677
"08-02-2018",0.344464,0.367504,0.336822,0.356584,346383008,9245178521
"07-02-2018",0.367267,0.377219,0.332507,0.340447,679744000,8826793383
"06-02-2018",0.331209,0.378719,0.266523,0.369753,1338390016,9586612113
"05-02-2018",0.385044,0.399523,0.319646,0.327371,658547968,8487771009
"04-02-2018",0.433865,0.48014,0.369823,0.379303,814753984,9834215636
"03-02-2018",0.400965,0.501639,0.330815,0.438836,1404499968,11377731927
"02-02-2018",0.41946,0.41946,0.274734,0.390534,1438809984,10125402566
"01-02-2018",0.515912,0.535322,0.412045,0.421672,595624000,10932719688
"31-01-2018",0.527598,0.550252,0.471337,0.519315,505904000,13464316636
"30-01-2018",0.624799,0.624799,0.523418,0.531913,359622016,13790945871
"29-01-2018",0.669373,0.669373,0.62076,0.623204,238318000,16157854068
"28-01-2018",0.62056,0.681946,0.62056,0.670286,325145984,17378552403
"27-01-2018",0.623477,0.632956,0.595269,0.616833,331308992,15992672701
"26-01-2018",0.633903,0.652848,0.566218,0.623382,810062016,16162469086
"25-01-2018",0.629337,0.683023,0.62156,0.637495,654814016,16528377833
"24-01-2018",0.563369,0.636009,0.544753,0.622208,689838016,16132030705
"23-01-2018",0.566537,0.592231,0.520013,0.56307,375958016,14598755608
"22-01-2018",0.614983,0.631485,0.521889,0.570458,522984000,14790304805
"21-01-2018",0.706391,0.706391,0.590793,0.613163,847731008,15897520352
"20-01-2018",0.656564,0.726242,0.647644,0.70751,738798976,18343661676
"19-01-2018",0.649544,0.68852,0.615936,0.650498,584574016,16865507531
"18-01-2018",0.631295,0.711008,0.591528,0.659843,1285490048,17107796005
"17-01-2018",0.624123,0.678517,0.44062,0.629102,1713769984,16310771930
"16-01-2018",0.780621,0.780621,0.479944,0.626493,1632649984,16243128203
"15-01-2018",0.795761,0.884506,0.777413,0.778587,972993024,20186480069
"14-01-2018",0.881961,0.881961,0.749514,0.802262,160712000,20800303464
"13-01-2018",0.91741,0.969325,0.836486,0.884124,313215008,22922745312
"12-01-2018",0.695769,0.932269,0.659967,0.897508,365795008,23269753224
"11-01-2018",0.791522,0.791522,0.5725,0.688412,229000992,17848506483
"10-01-2018",0.815872,0.816252,0.676835,0.793121,236472000,20563304112
"09-01-2018",0.898185,0.919436,0.796177,0.814743,209492000,21123899231
"08-01-2018",0.999329,0.999329,0.764328,0.899002,264460992,23308488268
"07-01-2018",1.02,1.04,0.991391,1.01,226067008,26147969179
"06-01-2018",0.997,1.05,0.929183,1.03,297615008,26630990503
"05-01-2018",1.17,1.25,0.903503,0.999559,508100000,25915636700
"04-01-2018",1.09,1.33,1.04,1.11,593430016,28885867828
"03-01-2018",0.779681,1.09,0.778578,1.08,657398016,27992420977
"02-01-2018",0.724676,0.794646,0.697856,0.782587,289712000,20290188351
"01-01-2018",0.718847,0.730051,0.671941,0.728657,150186000,18891941437
"31-12-2017",0.642581,0.754446,0.642297,0.719695,305947008,18659583031
"30-12-2017",0.528316,0.777385,0.471556,0.639243,645155968,16573698352
"29-12-2017",0.410457,0.556879,0.403945,0.529299,266403008,13723172509
"28-12-2017",0.41202,0.418934,0.367887,0.407701,82263800,10570492585
"27-12-2017",0.427107,0.430827,0.401098,0.414176,82067504,10738370367
"26-12-2017",0.413573,0.430086,0.405608,0.428465,94896000,11108842278
"25-12-2017",0.39233,0.4397,0.362807,0.416363,122194000,10795072870
"24-12-2017",0.416661,0.416661,0.347039,0.390029,67372304,10112309395
"23-12-2017",0.41442,0.450368,0.392567,0.414027,88865000,10734507234
"22-12-2017",0.478974,0.478974,0.293641,0.40715,150972992,10556206770
"21-12-2017",0.490049,0.523619,0.456527,0.477851,162926000,12389276584
"20-12-2017",0.533705,0.533705,0.441621,0.486151,182924000,12604471269
"19-12-2017",0.520268,0.589589,0.501083,0.531273,279631008,13774352546
"18-12-2017",0.511939,0.526496,0.467403,0.518198,253463008,13435356099
"17-12-2017",0.386775,0.592417,0.378013,0.513011,628142976,13300872384
"16-12-2017",0.212875,0.447192,0.204233,0.404665,581052032,10491777999
"15-12-2017",0.233209,0.233209,0.187032,0.213467,207311008,5534573967
"14-12-2017",0.133667,0.240753,0.131843,0.240753,309307008,6242020013
"13-12-2017",0.133739,0.141854,0.122368,0.134281,61575000,3481512959
"12-12-2017",0.121177,0.138008,0.114222,0.133891,60056800,3471401401
"11-12-2017",0.108927,0.121383,0.108638,0.121383,39513900,3147105603
"10-12-2017",0.119794,0.119794,0.100133,0.110281,46376600,2859263266
"09-12-2017",0.114745,0.13866,0.113561,0.119609,63308600,3101110980
"08-12-2017",0.106142,0.120726,0.099136,0.115465,70092400,2993669200
"07-12-2017",0.117766,0.124176,0.105501,0.105501,71024600,2735331869
"06-12-2017",0.126748,0.132855,0.113886,0.117839,75688800,3055220065
"05-12-2017",0.135625,0.136404,0.126777,0.127488,50381100,3305390369
"04-12-2017",0.131546,0.145946,0.12635,0.13587,76392704,3522711074
"03-12-2017",0.132351,0.13922,0.124945,0.131807,46458900,3417369386
"02-12-2017",0.131633,0.138869,0.129132,0.132351,56712600,3431473713
"01-12-2017",0.116622,0.131352,0.113031,0.131352,73657600,3405572569
"30-11-2017",0.09493,0.128303,0.09493,0.119883,124345000,3108214997
"29-11-2017",0.118235,0.146906,0.081436,0.089718,210624992,2326119729
"28-11-2017",0.050627,0.13173,0.047949,0.119744,240338000,3104611135
"27-11-2017",0.036619,0.057127,0.036619,0.050593,77777296,1311728280
"26-11-2017",0.030437,0.039855,0.030118,0.036332,30527100,941982327
"25-11-2017",0.028324,0.030447,0.027747,0.030447,6156460,789409295
